id,name,short,category,family,package,fn,engine,level,status,structures_text,diagnostics_text
monotone-regression,Monotone Regression,R workflow for monotone regression,Non-parametric and semiparametric,nonparametric,scam,scam,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
quantile-process,Quantile-Process Regression,R workflow for quantile-process regression,Non-parametric and semiparametric,nonparametric,quantreg,rq,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
local-likelihood,Local Likelihood,R workflow for local likelihood,Non-parametric and semiparametric,nonparametric,locfit,locfit,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
series-regression,Series Regression,R workflow for series regression,Non-parametric and semiparametric,nonparametric,splines,bs,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Bandwidth or basis choice | Bootstrap inference | Specification sensitivity
aids,Almost Ideal Demand System,R workflow for almost ideal demand system,Structural and specialised,structural,micEconAids,aidsEst,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
quaids,Quadratic Almost Ideal Demand System,R workflow for quadratic almost ideal demand system,Structural and specialised,structural,micEconAids,aidsEst,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
demand-system,Demand-System Estimation,R workflow for demand-system estimation,Structural and specialised,structural,systemfit,systemfit,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
cobb-douglas,Cobb–Douglas Production Function,R workflow for cobb–douglas production function,Structural and specialised,structural,stats,lm,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
translog,Translog Production Function,R workflow for translog production function,Structural and specialised,structural,stats,lm,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
gravity,Gravity Model,R workflow for gravity model,Structural and specialised,structural,gravity,gravity,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
ppml-gravity,PPML Gravity Model,R workflow for ppml gravity model,Structural and specialised,structural,fixest,fepois,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
input-output,Input–Output Analysis,R workflow for input–output analysis,Structural and specialised,structural,ioanalysis,leontief.inv,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
social-accounting-matrix,Social Accounting Matrix Analysis,R workflow for social accounting matrix analysis,Structural and specialised,structural,sam,sam,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
cge-preparation,CGE Calibration Preparation,R workflow for cge calibration preparation,Structural and specialised,structural,gRbase,fit,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
cox-survival,Cox Proportional-Hazards Model,R workflow for cox proportional-hazards model,Structural and specialised,structural,survival,coxph,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
parametric-survival,Parametric Survival Model,R workflow for parametric survival model,Structural and specialised,structural,survival,survreg,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
competing-risks,Competing-Risks Model,R workflow for competing-risks model,Structural and specialised,structural,cmprsk,crr,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
duration-model,Duration Model,R workflow for duration model,Structural and specialised,structural,survival,survreg,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
labour-transition,Labour-Market Transition Model,R workflow for labour-market transition model,Structural and specialised,structural,msm,msm,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
search-matching,Search-and-Matching Model,R workflow for search-and-matching model,Structural and specialised,structural,stats,nls,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
microsimulation,Microsimulation,R workflow for microsimulation,Structural and specialised,structural,simPop,simStructure,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
oaxaca,Oaxaca–Blinder Decomposition,R workflow for oaxaca–blinder decomposition,Structural and specialised,structural,oaxaca,oaxaca,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
shapley-decomposition,Shapley Decomposition,R workflow for shapley decomposition,Structural and specialised,structural,decomp,shapley,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
gini,Gini Coefficient,R workflow for gini coefficient,Structural and specialised,structural,ineq,Gini,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
lorenz,Lorenz Curve,R workflow for lorenz curve,Structural and specialised,structural,ineq,Lc,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
palma,Palma Ratio,R workflow for palma ratio,Structural and specialised,structural,convey,svypalma,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
poverty-fgt,Foster–Greer–Thorbecke Poverty Measures,R workflow for foster–greer–thorbecke poverty measures,Structural and specialised,structural,convey,svyfgt,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
tax-incidence,Tax-Incidence Analysis,R workflow for tax-incidence analysis,Structural and specialised,structural,survey,svyby,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
static-microsimulation,Static Tax-Benefit Microsimulation,R workflow for static tax-benefit microsimulation,Structural and specialised,structural,simPop,simStructure,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
sem,Structural Equation Modelling,R workflow for structural equation modelling,Structural and specialised,structural,lavaan,sem,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
cfa,Confirmatory Factor Analysis,R workflow for confirmatory factor analysis,Structural and specialised,structural,lavaan,cfa,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
latent-class,Latent-Class Model,R workflow for latent-class model,Structural and specialised,structural,poLCA,poLCA,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
latent-growth,Latent Growth-Curve Model,R workflow for latent growth-curve model,Structural and specialised,structural,lavaan,growth,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
multilevel-model,Multilevel Model,R workflow for multilevel model,Structural and specialised,structural,lme4,lmer,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
growth-curve,Growth-Curve Model,R workflow for growth-curve model,Structural and specialised,structural,nlme,lme,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
raking,Survey Raking,R workflow for survey raking,Structural and specialised,structural,survey,rake,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
small-area,Small-Area Estimation,R workflow for small-area estimation,Structural and specialised,structural,sae,eblupBHF,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
meta-analysis,Meta-Analysis,R workflow for meta-analysis,Structural and specialised,structural,metafor,rma,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
meta-regression,Meta-Regression,R workflow for meta-regression,Structural and specialised,structural,metafor,rma,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
conjoint,Conjoint Analysis,R workflow for conjoint analysis,Structural and specialised,structural,conjoint,Conjoint,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
choice-experiment,Discrete-Choice Experiment,R workflow for discrete-choice experiment,Structural and specialised,structural,support.CEs,clogit,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
network-econometrics,Network Econometrics,R workflow for network econometrics,Structural and specialised,structural,sna,netlm,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
social-interactions,Social-Interactions Model,R workflow for social-interactions model,Structural and specialised,structural,sna,netlm,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Identification | Functional form | Distribution assumptions | Sensitivity
random-forest,Random Forest,R workflow for random forest,Machine learning econometrics,machine_learning,ranger,ranger,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
gradient-boosting,Gradient Boosting,R workflow for gradient boosting,Machine learning econometrics,machine_learning,xgboost,xgboost,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
lightgbm,LightGBM,R workflow for lightgbm,Machine learning econometrics,machine_learning,lightgbm,lgb.train,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
neural-network,Neural Network,R workflow for neural network,Machine learning econometrics,machine_learning,nnet,nnet,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
deep-learning,Deep Neural Network,R workflow for deep neural network,Machine learning econometrics,machine_learning,keras,keras_model_sequential,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
svm,Support-Vector Machine,R workflow for support-vector machine,Machine learning econometrics,machine_learning,e1071,svm,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
knn,K-Nearest Neighbours,R workflow for k-nearest neighbours,Machine learning econometrics,machine_learning,class,knn,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
super-learner,Super Learner,R workflow for super learner,Machine learning econometrics,machine_learning,SuperLearner,SuperLearner,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
cross-validation,Cross-Validation,R workflow for cross-validation,Machine learning econometrics,machine_learning,rsample,vfold_cv,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
time-series-cv,Time-Series Cross-Validation,R workflow for time-series cross-validation,Machine learning econometrics,machine_learning,forecast,tsCV,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
hyperparameter-tuning,Hyperparameter Tuning,R workflow for hyperparameter tuning,Machine learning econometrics,machine_learning,tune,tune_grid,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
shap,SHAP Interpretation,R workflow for shap interpretation,Machine learning econometrics,machine_learning,fastshap,explain,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
partial-dependence,Partial-Dependence Analysis,R workflow for partial-dependence analysis,Machine learning econometrics,machine_learning,pdp,partial,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
post-lasso,Post-Lasso OLS,R workflow for post-lasso ols,Machine learning econometrics,machine_learning,hdm,rlasso,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
debiased-lasso,Debiased Lasso,R workflow for debiased lasso,Machine learning econometrics,machine_learning,hdi,lasso.proj,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
bart,Bayesian Additive Regression Trees,R workflow for bayesian additive regression trees,Machine learning econometrics,machine_learning,dbarts,bart,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
causal-bart,Causal BART,R workflow for causal bart,Machine learning econometrics,machine_learning,bartCause,bartc,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
quantile-forest,Quantile Regression Forest,R workflow for quantile regression forest,Machine learning econometrics,machine_learning,quantregForest,quantregForest,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
generalized-random-forest,Generalised Random Forest,R workflow for generalised random forest,Machine learning econometrics,machine_learning,grf,regression_forest,native R,Advanced,Method-aware adapter,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
model-stacking,Model Stacking,R workflow for model stacking,Machine learning econometrics,machine_learning,stacks,stacks,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
automl,Automated Machine Learning,R workflow for automated machine learning,Machine learning econometrics,machine_learning,h2o,h2o.automl,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
explainable-ml,Explainable Machine Learning,R workflow for explainable machine learning,Machine learning econometrics,machine_learning,DALEX,explain,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
conformal-prediction,Conformal Prediction,R workflow for conformal prediction,Machine learning econometrics,machine_learning,conformalInference,conformal.pred,native R,Advanced,Generic R scaffold,Cross-section | Time series | Panel,Cross-validation | Out-of-sample accuracy | Calibration | Interpretability
custom-r,Custom R Package / Function,Run any installed R package function with editable code,Extensibility,custom,user-selected,user_function,native R,Expert,Method-aware adapter,Cross-section | Time series | Panel | Spatial,User-defined
custom-script,Full Custom R Script,Use the Code Studio for an unrestricted R workflow,Extensibility,custom,base,source,native R,Expert,Method-aware adapter,Cross-section | Time series | Panel | Spatial,User-defined
